id,acc_user,acc_asset,nam_asset,amt_trans,tye_flow,dte_trans,tme_trans,acc_asset_related,nam_asset_related,cod_trans_type,txt_trans_type,txt_trans_type_sub,txt_remark
1,lxnkf54X,,农业银行 漂亮妈妈 9132,23.36,,20201228,,,,,餐饮,,
2,lxnkf54X,,农业银行 漂亮妈妈 9132,50.0,,20201228,,,,,交通,,
3,lxnkf54X,,农业银行 漂亮妈妈 9132,6.8,,20201228,,,,,餐饮,,
4,lxnkf54X,,农业银行 漂亮妈妈 9132,22.36,,20201227,,,,,餐饮,,
5,lxnkf54X,,微信钱包 HAN-MC,26.6,,20201227,,,,,餐饮,,
6,lxnkf54X,,微信钱包 HAN-MC,47.6,,20201227,,,,,餐饮,,
7,lxnkf54X,,农业银行 漂亮妈妈 9132,97.0,,20201227,,,,,餐饮,,
8,lxnkf54X,,农业银行 漂亮妈妈 9132,166.0,,20201227,,,,,娱乐,,
9,lxnkf54X,,农业银行 漂亮妈妈 9132,336.0,,20201227,,,,,娱乐,,
10,lxnkf54X,,支付宝 韩梦成呀,190.0,,20201226,,,,,餐饮,,
11,lxnkf54X,,农业银行 漂亮妈妈 9132,59.0,,20201226,,,,,餐饮,,
12,lxnkf54X,,农业银行 漂亮妈妈 9132,1079.0,,20201226,,,,,餐饮,,
13,lxnkf54X,,农业银行 漂亮妈妈 9132,38.0,,20201226,,,,,餐饮,,
14,lxnkf54X,,农业银行 漂亮妈妈 9132,20.2,,20201226,,,,,餐饮,,
15,lxnkf54X,,农业银行 漂亮妈妈 9132,19.2,,20201225,,,,,餐饮,,
16,lxnkf54X,,支付宝 韩梦成呀,12.0,,20201225,,,,,日常琐碎,快递,
17,lxnkf54X,,农业银行 漂亮妈妈 9132,30.8,,20201224,,,,,餐饮,,
18,lxnkf54X,,微信钱包 HAN-MC,12.0,,20201224,,,,,餐饮,,
19,lxnkf54X,,农业银行 漂亮妈妈 9132,17.4,,20201223,,,,,餐饮,,
20,lxnkf54X,,农业银行 漂亮妈妈 9132,214.0,,20201223,,,,,交通,,
21,lxnkf54X,,农业银行 漂亮妈妈 9132,25.0,,20201223,,,,,餐饮,,
