cod_trans_type,txt_trans_type,txt_trans_type_sub,tye_flow
vmgPVwRO,餐饮,,支出
bsj8ErSR,交通,,支出
onauXDAX,娱乐,,支出
bBhMOSxl,日常琐碎,,支出
3B68sIbA,人情,,支出
WtAPhhCU,通讯,,支出
fijqNLS6,文教,,支出
05iLFTS5,住房,,支出
XD44ChZM,购物,,支出
8QVeQ1kv,工作,,支出
Z4ZN7aOX,零食烟酒,,支出
USIdRHdD,医疗,,支出
DMPJb231,汽车,,支出
m8qJJf8z,利息支出,,支出
Rkf7p9P2,资金调整,,支出
l3nfc0P3,育儿,,支出
bs1Rf9O7,其他,,支出
yqkDZNq7,退款,,收入
0XcZ9ZC3,意外所得,,收入
cBRgr41o,薪资,,收入
O4s4uj1L,其他,,收入
I9SPpzmR,还信用卡,,其他
EhrCEntv,内部其他,,其他
uMm0HlS6,借出,,其他
kz0e1OWu,借入,,其他
2mqK3Wwr,收债,,其他
kAIIiCpY,投资回收,,其他
hNoN0rmS,投资,,其他
n2jgwgbd,还债,,其他
LrPEBIep,取现,,其他
xSTyQpeH,报销收入,,其他
0PpB3SXE,转账,,其他
VhUHlgxj,其他,,其他
